loc_name,muni,address,prov
Yerba Buena Cannabis,North York,910 Sheppard Ave W,Ontario
Canna Cabana Toronto,Toronto,433 Parliament St,Ontario
Bluebird Cannabis Co,Ottawa,27 York St,Ontario
Cannabis Supply Co.,Kitchener,1400 Weber St E,Ontario
Dope Cannabis,North York,3430 Bathurst St,Ontario
Tampi Inc,Oshawa,303 Wentworth St W,Ontario
Fire & Flower Cannabis Co.,Ottawa,129 York St,Ontario
Dutch Love Clarence St.,Ottawa,121 Clarence St,Ontario
Growers Retail,Waterloo,50 Westmount Rd N,Ontario
Giggles Cannabis,Hamilton,163 Main St W,Ontario
Body And Spirit Cannabis,Toronto,361 Yonge St,Ontario
Tÿme Cannabis Co.,Hamilton,1142 Barton St E,Ontario
T Cannabis Nw,Wawa,152 Mission Rd,Ontario
Puffs Haven,North York,5171 Yonge St,Ontario
Offside Cannabis,Niagara Falls,5719 Victoria Ave,Ontario
Neku Cannabis,Stoney Creek,89 King St E,Ontario
Stash & Co.,Sudbury,900 Lasalle Blvd,Ontario
Bananas,Sudbury,1855 Lasalle Blvd,Ontario
Budssmoke,Barrie,389 Bayfield St,Ontario
Welcome Cannabis ,Campbellville,6 Main St N,Ontario
Blunt And Cherry,Toronto,64 Spadina Ave,Ontario
Cannabis Connect,Plantagenet,5787 County Rd 17,Ontario
J. Supply Co. - Thunder Bay Arthur Street 2021,Thunder Bay,540 Arthur St W,Ontario
Star Buds Cannabis Co.,Amherstview,4507 Bath Rd Suite 5,Ontario
Fire & Flower Cannabis Co.,Toronto,378 Yonge St,Ontario
Roll N Rock Cannabis Co.,Timmins,993 Riverside Dr,Ontario
Greenlight District,Windsor,125 Tecumseh Rd W,Ontario
Kennedy Commons,Scarborough,26 William Kitchen Rd Unit 6,Ontario
The Green Room Cannabis - Wyndham N,Guelph,164 Wyndham St N,Ontario
Shinybud Cannabis Co. 621 Pitt,Cornwall,621 Pitt St,Ontario
Marley Natural,North York,1887 Avenue Rd,Ontario
Village Cannabis Co.,Port Dover,237 Main St,Ontario
Light House Cannabis,Toronto,1506 Dundas St W,Ontario
Ganjika House Oshawa,Oshawa,575 Thornton Rd N Unit 7,Ontario
Spiritleaf 1200B Wellington Street West,Ottawa,1200B Wellington St W,Ontario
Tweed,Nepean,299 Greenbank Rd,Ontario
Divine Flower,Toronto,5 Charles St W,Ontario
Budssmoke,St Catharines,186 Lake St,Ontario
The Hunny Pot Cannabis Co,Toronto,1166 Yonge St,Ontario
Plug Canna6Is,Toronto,152 Dundas St E,Ontario
Treetop,Burlington,796 Brant St,Ontario
Blue Sage Cannabis,Hamilton,835 King St E,Ontario
Cannabis Supply Co.,Hamilton,57 John St S,Ontario
Miss Jones,Toronto,315 King St W,Ontario
Da Canna,Hamilton,281 Cannon St E,Ontario
True North Cannabis Co. ,Cornwall,25 Second St E,Ontario
Dundas Cannabis,Woodstock,620 Dundas St,Ontario
Malibu Munchies,Penetanguishene,118 Main St,Ontario
Greentown Ontario,Windsor,74 Chatham St W,Ontario
Canna Cabana Keele,North York,2318 Keele St,Ontario
Flower Haze Cannabis Boutique ,Ottawa,1571 Bank St,Ontario
Royal Cannabis Supply Company,Etobicoke,105 Claireport Cres,Ontario
Growers Retail,Toronto,492 Parliament St,Ontario
V&D Cannabis,North York,2851 Dufferin St,Ontario
True North Cannabis Co.,Belleville,20 Bridge St W,Ontario
Fire & Flower Cannabis Co. ,Toronto,193 1/2 Baldwin St,Ontario
Ma Cannabis,Toronto,234 Wellington St W,Ontario
The House Of Cannabis,Toronto,404 Spadina Ave,Ontario
Lake Of The Woods Cannabis,Kenora,809 River Dr,Ontario
The 420 Store,Lindsay,370 Kent St W,Ontario
Tokyo Smoke Barrie Essa Road,Barrie,555 Essa Rd,Ontario
Village Cannabis Co.,Hamilton,275 King St E,Ontario
6 Of Spade,Toronto,1278 Dundas St W,Ontario
Black Gold Cannabis & Co ,Hamilton,243 James St N,Ontario
One Plant Peterborough Landsdowne,Peterborough,999 Lansdowne St W Unit 8,Ontario
Canna Cabana,Ottawa,87 Clarence St,Ontario
Neku Cannabis,Hamilton,38 Hess St S,Ontario
Maryjane'S Cannabis,North York,2596 Weston Rd,Ontario
One Plant Wonderland,London,3030 Wonderland Rd S,Ontario
True North Cannabis Co.,Strathroy,51 Front St W,Ontario
Cabbage Brothers,Hamilton,192 Locke St S,Ontario
Canvas Cannabis,York,1285 Weston Rd,Ontario
Green Merchant Cannabis Boutique,Toronto,1077 Bloor St W,Ontario
Rc Bud Shop,Windsor,8061 Wyandotte St E,Ontario
Highties Cannabis Store,Nepean,3023 Cedarview Rd Unit 4,Ontario
Capital Cannabis,Ottawa,352 Preston St,Ontario
Reserved Cannabis,Waterloo,646 Erb St W Unit 101,Ontario
Kush Klub,Toronto,556 College St,Ontario
Tokyo Smoke,East York,1031 Pape Ave,Ontario
Stok'D ,Scarborough,2408 Kingston Rd,Ontario
Cannabis Station,North York,2292 Keele St,Ontario
Highlife Cannabis Sudbury,Sudbury,1299 Marcus Dr,Ontario
Big Sky Cannabis,Ottawa,324 Somerset St W,Ontario
The Curious Cannabis Company,Toronto,2140 Dundas St W,Ontario
Sessions Cannabis - Kincardine,Kincardine,728 Queen St,Ontario
Cannabis Jacks,North Bay,1881 Cassells St,Ontario
Chill Cannabis,Toronto,2057 Dundas St W,Ontario
Green Mantle Cannabis,Kakabeka Falls,4744 Highway 11/17,Ontario
Herbcan,Toronto,41 Roncesvalles Ave,Ontario
Hempire House,Grand Valley,27 Main St S,Ontario
1000112796 Ontario Inc.,Toronto,3080 Yonge St,Ontario
Superette,Toronto,994 Dundas St W,Ontario
Smartcentres Brampton East,Brampton,30 Coventry Rd,Ontario
Vertie,Toronto,180 Carlton St,Ontario
Value Buds,Hamilton,859 Barton St E,Ontario
Cshop,Sault Ste. Marie,44 Great Northern Rd,Ontario
C Shop,North Bay,1 Laurentian Ave,Ontario
Sessions Cannabis - Rosedale,Hamilton,1900 King St E,Ontario
Tokyo Smoke,Toronto,2577 Yonge St,Ontario
Cost Cannabis,Hamilton,32 Barton St E,Ontario
Ronin Cannabis,London,434 Richmond St,Ontario
Nature'S Canopy House,York,1792 Weston Rd,Ontario
Tokyo Smoke Stouffville Main St.,Stouffville,5758 Main St Unit 1,Ontario
My Cannabis Shoppe,St Catharines,216 Queenston St,Ontario
Tweed,Kitchener,300 Bleams Rd,Ontario
Shinybud Cannabis Co. 7833 Tecumseh,Windsor,7833 Tecumseh Rd E,Ontario
Tokyo Smoke,Ottawa,234 Laurier Ave W,Ontario
The Bud Hub,London,600 Oxford St W,Ontario
Olympia Cannabis,Carleton Place,101 Bridge St,Ontario
Fallen Giants,Peterborough,172 Simcoe St,Ontario
Happy Life,Thunder Bay,1170 Memorial Ave,Ontario
High Variety Cannabis,Toronto,1184 Queen St W,Ontario
Capturing Eden,Tillsonburg,52 Simcoe St,Ontario
